Quadgram,spanish,portugese
ulge,20,6
o: ¡,12,1
ig y,2,1
a è ,1,3
orrã,1,13
of j,1,3
"juv,1,2
 tsu,14,12
ía ",16,1
eduç,1,15
cérq,3,1
snut,4,2
slem,1,2
lume,63,100
 yoo,2,1
excé,14,1
paba,36,1
júst,3,1
-lín,1,3
l rá,8,1
ad"c,2,1
nduí,1,121
pí u,8,1
rsió,174,1
"dav,6,3
sacu,61,25
 > y,1,2
) ao,1,3
cou;,1,2
nov ,2,3
dízi,1,4
 / 5,1,2
anch,414,181
dom ,3,22
gang,17,34
""aq,16,44
"pax,1,2
w y ,2,1
uyuc,3,1
(ter,1,2
 dzi,1,3
ais ,330,15368
r lg,2,1
ânul,1,4
a 95,2,1
iérc,54,1
ipie,15,17
 unâ,1,5
 ary,2,2
 / ',1,5
obal,44,47
só m,61,78
in-v,2,1
 kud,3,1
-up",3,1
"láp,3,2
 dül,1,2
r: s,3,4
howa,5,10
ans:,1,2
racã,1,26
odél,2,1
es d,2,3
proa,5,13
olmó,4,1
rdeo,22,2
inzo,1,2
-bon,1,2
ía à,1,3
ma j,27,153
z (e,2,1
j nu,5,1
elía,5,2
posr,1,2
uici,277,42
 lig,124,1118
-exu,3,3
ds t,3,2
 lgb,5,1
onho,1,767
brís,5,2
 vio,755,473
plie,34,3
nyam,1,2
spói,3,1
ckpo,3,2
oa-f,1,4
chio,1,2
eno",4,1
ir s,535,382
oces,427,212
eu z,1,4
 bên,1,43
 'la,2,1
unló,1,3
âgue,1,3
il v,41,71
diya,3,1
háca,2,34
tê d,1,8
tó é,14,3
vo r,54,57
s câ,1,19
rhey,2,1
otka,1,2
 jar,584,503
efie,588,1
upi-,1,2
lpha,5,29
«¿rí,2,1
udaí,9,12
asoy,3,1
icio,1848,955
nspa,32,25
iátr,11,5
 cro,67,122
lmo:,2,1
"yan,54,9
ugáb,18,1
frên,1,3
lpas,88,137
eña",3,1
ení ,18,1
s 71,2,2
az 8,1,3
sfie,4,1
uê d,1,62
s o ,613,2082
enof,6,5
enás,2,1
 din,2484,2184
na ú,22,42
load,1,13
agó ,145,1
acyr,1,3
grón,2,3
cósm,6,11
urru,23,2
am m,2,840
buíd,2,27
iava,1,138
oíd ,2,1
tefá,1,2
 ése,37,1
 ine,218,181
d ai,4,2
 édi,2,1
bsis,10,2
e ío,1,2
acáv,1,7
k fa,1,4
o' o,1,2
faso,4,3
uma;,1,3
hã d,1,133
vezp,1,2
lamã,1,2
oéti,14,18
ck d,15,6
lgra,7,5
eirá,8,2
ia 2,3,100
ar–a,2,1
emni,10,3
tsto,2,2
 éol,1,5
 igr,1,297
 júr,1,26
ã du,1,2
s 20,25,18
aust,517,1004
 obr,339,697
roxa,1,13
tizó,16,1
nnel,2,4
soé",1,2
arly,1,4
ês ú,1,3
rarl,388,1
ngya,1,3
ez: ,7,7
9 º ,2,1
stin,641,737
guil,73,25
ne l,467,23
te ô,1,23
61-2,1,2
amna,1,4
” im,2,1
 'ti,3,1
ַל y,2,1
gois,2,4
de u,3049,3625
eu(t,1,2
danm,5,1
bist,122,7
eari,6,18
on m,2596,30
"don,37,10
hn o,2,8
ssa:,1,2
cujo,1,101
ike ,68,40
sel ,10,7
ulab,24,1
volq,4,1
ínfu,4,6
ltor,47,72
toño,141,1
se x,1,5
ragã,1,17
édem,3,1
fumá,4,3
baiy,2,1
cí f,2,1
é zâ,1,2
re-n,1,10
oyen,44,1
ño á,2,1
-arã,1,2
"y f,3,1
-caf,2,2
z te,75,121
"ó s,1,3
vió ,771,1
adaú,1,2
do â,1,3
garr,350,424
"net,2,4
flog,2,2
 a 4,7,9
mníf,9,1
 ¿re,8,1
a; r,2,1
tost,53,16
 xá ,1,2
osae,1,2
ldó ,5,1
bérb,1,4
ratt,2,2
uuuu,6,5
ê se,1,2
cota,80,32
zerr,1,21
tife,1,4
ê vá,1,61
rvo:,2,2
âmul,1,6
lo e,2421,520
ba y,82,1
1050,1,2
dn: ,2,1
iden,1700,1188
”os ,1,2
órta,21,1
sgui,3,7
cê i,1,253
 h4:,2,1
oneu,1,6
eare,64,58
bilm,13,10
 anu,176,102
"os ,30,914
o 40,5,8
""má,10,1
 $4 ,2,1
ícil,1082,1125
59 n,2,2
umim,7,6
a: r,3,3
salh,1,34
 waf,4,3
râgu,1,3
 e a,2,2600
ease,5,1
u tw,1,3
it h,2,1
"isó,1,2
i bi,120,10
forú,2,1
eblo,624,2
tuzi,1,2
bmet,1,42
 à m,1,670
¿odi,3,1
más;,6,2
gi-v,1,2
ostô,1,2
 éde,1,9
piác,3,1
rmag,2,2
alox,2,1
 piy,2,1
"o f,1,143
) so,5,1
( ç ,2,1
no p,6684,1571
l um,4,136
"«do,3,1
-dou,1,5
"- y,2,1
oroa,2,57
do 5,6,1
adun,1,31
5 pá,1,2
xue ,2,1
lige,662,445
 gun,3,2
suo ,1,18
 áud,1,10
r-fo,1,3
tihi,3,1
ati ,7,25
leia,1,260
ancf,2,1
s hé,12,4
igiõ,1,33
ezei,1,5
s) ",1,2
dusa,12,4
ctúo,6,1
¿tu ,86,1
e tr,2931,2835
raße,1,4
d od,2,2
hoot,2,1
inér,1,9
íaal,2,1
apõe,1,4
rió ,1332,1
is ó,11,5
ef f,1,2
nába,10,1
 / f,1,54
 per,14084,9329
ógir,3,1
nglé,1439,1
tha ,7,4
""«¿,15,1
sky;,3,1
isso,2,16336
​en ,2,1
énea,3,1
rom-,1,4
anst,5,14
5 va,1,2
rana,146,58
lujo,65,1
bsid,7,3
oduç,1,84
 pru,336,60
semâ,1,2
ha c,668,1794
astr,394,250
mém ,1,3
a; /,1,15
he g,48,12
oeta,103,129
aguá,7,1
ádno,3,1
ragi,25,17
za q,76,148
bam;,1,2
rioc,6,19
er» ,2,1
"o y,2,2
docê,1,2
rí e,21,1
r ye,6,1
ha-l,1,2
¿pap,2,1
 emo,206,178
 0°c,2,1
m ní,1,18
y xe,5,1
0ª f,1,2
— em,1,5
rce ,45,28
"¡im,2,1
dres,1052,258
nteú,1,54
ol-b,1,2
deci,3572,1197
rucé,6,1
cohi,2,1
tozó,5,1
oy (,2,1
igma,38,34
ch q,2,1
erbó,2,1
lo"t,1,2
bezo,16,1
rí h,4,1
¿ést,14,1
ll"",3,4
sa/q,1,2
trós,2,1
moní,45,1
 y “,2,1
 zz ,1,2
lo z,1,6
iyuk,2,2
e jo,271,948
ã at,1,14
el -,1,4
klon,2,1
ói c,1,3
héli,2,17
i sm,2,1
kers,5,3
cien,3993,1284
elva,324,124
s nó,5,299
en-h,2,1
vone,4,2
"güe,2,1
fé a,30,17
o jf,1,2
ho o,27,326
cles,13,9
rmia,4,41
tl c,10,1
tuib,3,1
92 p,1,2
uraq,1,4
( ´ ,2,1
zbek,5,3
us-d,1,2
 ría,27,3
lacl,1,2
'nós,1,2
á)"",1,2
auke,1,2
esqu,333,2380
 cej,26,1
" no,14,17
 r s,1,2
lato,353,38
odab,7,1
oo t,1,3
lópe,10,4
ín d,74,1
9 em,1,4
oala,18,21
el m,5845,51
s “ĝ,1,2
- po,2,12
rtiç,1,12
gnán,2,1
nyha,1,2
g)/l,2,1
inás,4,31
cebí,3,10
avão,1,12
spod,1,2
adó ,64,1
nlat,6,10
émos,77,1
ubío,3,1
vel”,1,2
selê,1,2
asca,209,130
s dê,1,20
eus",1,8
eia",1,4
xa g,1,4
ubié,28,1
shaz,4,1
 / b,1,18
 5 b,2,1
$ 26,2,1
rdav,1,35
"exp,21,24
bí q,5,1
 jeo,1,5
ucri,16,2
rura,23,23
ansl,8,13
 hu ,3,1
uzga,122,1
uços,1,20
ersã,1,104
ubio,42,1
 yan,58,13
"era,91,108
inés,45,5
sme ,8,1
wayn,2,1
tión,152,1
's y,2,1
aquê,1,6
évia,1,2
c: c,1,2
6 sã,1,2
 52 ,1,2
 on-,2,4
izón,3,1
thak,2,2
"osí,1,2
guje,111,1
ear',2,1
ordp,1,2
ex u,1,2
ajun,1,15
ia ú,4,7
tt t,1,2
uiux,1,2
"oíd,2,1
982 ,2,1
é bi,90,32
empó,1,2
gei-,1,4
 “es,3,7
sía ,96,1
"már,1,4
") v,1,2
coge,563,1
¡mej,11,1
chaj,4,1
 “e ,1,3
- vã,1,2
ja u,70,106
flau,72,48
ojte,2,1
 may,1442,8
rach,323,87
ió ñ,2,1
alá ,324,41
ambá,3,10
zonz,2,9
¡iza,2,1
231 ,1,2
anos,1909,3364
71 v,2,2
 adj,42,44
taed,3,1
evít,2,1
ras ,5469,3736
bu d,3,1
có u,143,4
tó j,15,1
zō a,1,2
“ant,1,3
inín,2,1
il; ,6,15
enek,1,2
ó; p,3,3
em-t,1,7
té 2,1,13
aó d,1,12
lió ,480,1
dá s,6,24
 olh,1,2043
xe a,1,115
quiv,531,198
fuja,1,24
sboz,5,1
”""é,1,2
no -,3,2
"va ,21,1
: há,3,7
catã,1,3
 múm,1,4
irul,20,2
ee p,9,1
tó b,25,1
dosl,2,1
 lía,4,1
-¿có,4,1
ode ,5,4713
meva,2,1
ás v,372,38
zo t,128,6
écqu,5,1
busc,1171,306
an-a,1,3
úa s,13,1
ál e,931,1
954),1,2
m: f,1,4
”o s,1,2
marí,1922,31
után,9,1
0 ob,3,1
ló q,9,1
mé d,20,1
ío y,67,1
y hú,14,1
ffma,1,3
 bek,2,2
- ¡p,3,1
otoe,2,5
yuta,2,2
djeb,2,2
apid,32,270
iben,75,3
subo,36,40
 8 p,4,2
un d,1486,2
co-p,2,22
di f,4,21
co-a,2,5
m mu,96,1450
 orc,8,5
nsij,1,2
 tôn,1,4
uk r,1,2
—rep,3,1
ngat,8,18
"¡pa,22,1
onha,1,622
 fit,1,55
rán”,2,1
u fn,1,2
“com,2,4
ã o ,1,27
ols ,1,17
"¡si,54,1
amon,35,24
—¡pu,3,1
rbel,3,1
ral”,1,5
quin,654,912
egre,560,418
48 m,4,1
e eg,97,15
 háf,1,5
 “ĝi,1,2
rezo,106,36
toqu,146,127
pla ,29,37
mi w,7,2
rale,476,27
dóni,8,2
 lsd,2,3
tela,178,149
jar",3,1
ía e,2894,4
s –m,2,1
elek,2,1
y z ,2,1
guí ,85,1
lhê-,1,3
ryum,2,1
üé q,3,1
yuri,9,10
ósmi,6,12
un h,1514,1
fart,30,259
 ira,80,68
ioqu,8,5
a-15,2,4
vi g,3,2
xeng,1,2
lápi,193,206
onzó,9,1
"eba,1,2
rífi,61,19
leji,15,1
sipl,1,2
xagé,1,3
lofr,23,1
a go,224,493
sbo ,3,1
ficu,153,229
y va,204,26
d aú,5,1
ecdó,2,1
nn h,2,1
dê á,1,2
çare,1,52
íese,2,1
m né,1,4
l té,152,2
o se,7815,14609
pó e,31,8
ê dê,1,4
550 ,2,1
tas),1,3
suor,1,34
pétu,1,25
¿viv,43,1
epug,41,8
usán,4,1
"""y,16,2
u/li,2,1
rl h,1,2
níqu,15,11
cill,295,3
laf ,6,2
hnoi,2,1
oira,3,23
ey'r,2,3
iásp,1,2
 jaa,2,2
ánda,95,1
re-i,2,1
una…,2,1
adin,18,39
 vív,16,10
bige,5,1
bláb,12,1
ô fa,1,16
're",2,3
ppet,2,3
ok é,1,12
aast,2,4
 ¡jó,2,1
gibi,3,5
amak,8,4
is í,1,4
– ev,2,3
ynos,2,1
urá-,1,29
quá-,1,2
 dij,3149,2
jonu,7,1
-¿pe,2,1
ele-,1,2
hupo,3,3
peñó,15,1
elra,1,2
 níg,1,4
ovdi,1,2
dos",9,9
am x,1,9
atel,38,78
 wak,4,2
aful,2,2
7 al,1,2
dióx,20,16
mpúd,4,1
m va,131,961
ckea,5,5
ensb,2,1
liso,12,41
bícu,4,1
lese,45,41
 ‒ u,1,2
llia,10,23
rísp,1,3
riun,99,32
rém ,1,84
adju,25,3
vade,12,11
¿a e,4,1
banê,1,10
nezu,10,21
trui,321,338
e ve,3634,3102
m bl,2,30
rics,4,1
cá r,4,2
 row,1,2
— ho,1,3
z-me,1,43
u sl,1,4
itó ,407,1
a de,23653,20644
gota,232,102
; ¡h,2,1
évo ,3,1
emma,8,8
redí,1,4
rbor,3,5
ho c,340,993
"pta,2,2
oexi,9,4
butr,3,5
oerç,1,2
"wan,2,2
keba,9,9
 d y,2,1
va á,2,4
a 22,3,6
se —,1,3
mpo ,2382,2992
 2h3,1,49
1690,1,2
alfâ,1,7
zé a,2,2
"vin,24,16
aphn,1,2
ber;,1,3
r¿te,2,1
fam ,1,3
pó y,4,1
pott,9,7
- am,1,2
páve,1,2
ulea,2,1
ú ta,60,1
lvis,39,9
"“pá,1,2
oco),1,2
"¿aú,6,1
m: «,2,1
bobb,3,6
 ráf,14,1
ua-c,1,2
az"",2,5
gaçã,1,234
odéc,4,1
amed,5,12
ráel,8,1
"—¡a,2,1
o -1,2,1
ri g,5,3
à pi,1,12
– aq,1,2
iaga,15,63
o fu,2162,1169
mãos,1,856
rô o,1,4
lúni,1,10
lbó ,5,1
 5 ú,2,1
rãoz,1,4
ne 7,5,1
sao ,9,2
x5 y,2,1
30-6,2,1
aiko,4,3
segr,4,282
r ti,399,195
ed g,10,2
pilo,76,82
reit,7,823
ortí,17,7
blad,287,56
ahle,2,1
ríbe,39,1
odyb,1,2
67 y,2,1
0 st,1,2
897 ,2,1
1894,1,3
ević,1,2
"«¿y,4,1
y 7x,2,1
ln é,1,3
o"ob,1,2
aco ,139,338
rtev,4,1
xi s,6,3
59-1,2,1
вори,1,3
 2 d,7,6
ciet,1,2
ô sã,1,3
mers,41,13
ilit,140,144
a: s,15,23
somo,624,815
só f,8,154
ñó b,2,1
aí a,9,33
da"",25,26
y xó,4,1
y mê,1,3
-joh,2,1
y e5,2,1
kurd,8,1
nes;,6,2
fleq,11,1
ardá,11,28
né l,22,1
úgas,1,3
1 di,1,4
aer ,214,1
nóti,4,1
 18:,3,1
y él,50,1
eedu,1,2
jorg,44,36
mfor,2,2
bébe,10,1
ácan,2,1
ic h,3,1
¡jes,2,1
weta,1,2
scod,2,3
00 l,15,5
uern,37,2
hári,2,1
lbes,2,1
ia-s,1,97
à sí,1,5
ás g,556,18
pai-,1,3
"zap,1,2
y az,29,1
zarí,25,1
"«¿r,3,1
okij,2,1
il s,109,130
dio;,2,3
pudr,24,1
; "",2,5
¡bés,2,1
 es:,13,1
trat,1590,971
 mea,30,19
mbi ,5,3
6 es,3,3
as x,1,19
à se,1,60
o ¡a,2,1
mou:,2,10
ébol,13,1
ubtí,16,1
guqi,1,17
oy a,2758,2
ta”é,1,2
puzc,2,1
" — ,14,5
co-d,1,6
m r$,1,2
uaré,16,1
tepu,1,2
¡otr,6,1
agui,8,10
ve 2,1,2
baju,1,21
opro,7,43
aids,1,7
0 da,1,27
: ib,2,1
otez,4,1
""¿r,3,1
 ogm,2,3
élop,3,2
m-hu,1,2
 366,1,3
séñe,13,1
ezin,2,73
vale,581,609
cusé,4,1
upla,4,31
vões,1,16
ido-,1,3
a(h1,2,1
s 2-,2,1
muz ,3,1
e oi,43,80
» fa,1,2
ltôn,1,24
n ti,1046,10
a-so,1,7
igim,8,17
"-há,1,2
a uc,7,24
 <<a,2,1
ldeó,2,1
fugu,2,1
(22),2,1
bena,3,1
alao,12,1
a po,4966,5114
l 5 ,9,2
de l,15770,1952
…"to,1,2
2 ac,1,4
iaçõ,1,33
 cán,154,1
-neg,2,6
á gl,1,2
ñe d,2,1
tts-,1,4
─¿y ,3,1
12 f,1,3
«ros,2,1
alíg,3,3
yens,1,2
ndeq,45,1
ipek,3,1
ampí,12,1
awad,4,2
tish,2,2
uróc,2,1
onny,2,4
»"ol,2,2
 hex,8,15
epoe,1,5
alês,1,16
neer,4,8
mpai,1,76
"ray,2,1
samã,1,3
pem:,1,2
alnu,5,1
âmar,1,54
haci,1413,4
n]6d,1,2
edoe,2,1
 éri,1,4
mpsh,2,1
s nu,2,1
fúte,1,6
piár,1,2
soup,2,2
21 l,2,1
lifl,8,1
d té,2,1
ocal,160,229
nta:,3,4
 2:4,1,2
iese,277,7
uldo,2,3
o gu,136,187
; mu,7,2
rpas,7,6
s gr,1218,483
ukuo,2,4
 vín,15,10
90 (,1,2
 vêe,1,5
sió ,14,1
ndál,1,20
 oja,12,2
y oc,243,1
vièr,2,9
enrt,1,2
fetó,7,1
stúc,1,16
rgél,1,75
"jua,39,3
so y,208,1
 c q,2,1
e ín,5,9
silh,1,9
 feí,4,1
ngod,1,2
hrys,2,1
timb,39,7
my h,3,1
«¡el,2,1
ueço,1,29
—¿el,2,1
dáme,19,1
m mã,1,38
rina,394,150
elco,4,1
rzud,2,1
atúr,1,2
 moo,2,2
r mí,212,4
 “al,2,2
u ot,30,11
a xe,2,7
 nin,1262,1302
uroe,7,1
ar 4,2,2
íam-,1,3
mí y,37,1
seer,13,1
"hus,3,2
 xx ,3,4
0 fe,2,2
ueu ,1,28
selo,251,107
rrág,1,2
¡pór,2,1
ark',1,2
guo ,74,4
wn v,2,3
nahu,3,1
suso,3,4
atún,28,1
tíme,38,31
demi,54,275
s ¡v,2,1
dani,24,89
ón ó,5,1
ratr,4,3
(= m,1,2
boda,142,12
 ""f,28,78
olak,1,2
njar,13,49
pneu,2,63
"a l,139,137
lìli,2,1
v un,2,1
 á r,1,2
giti,7,19
ermk,1,2
rzó ,23,1
 tuf,2,20
oled,51,3
ui q,4,118
pázi,1,3
a: «,5,1
 dím,12,1
)voc,1,2
l ai,241,27
abe ,1780,3075
dela,555,1769
acit,47,26
yo v,210,2
' es,8,2
1836,2,1
ín (,2,1
bilh,1,192
tuca,1,17
airu,1,2
"we ,1,2
rrgg,2,1
hí d,46,1
 9h0,1,5
kcha,1,2
ages,2,2
ff f,1,2
elei,16,389
túni,4,27
liça,1,5
ã am,1,5
m 18,1,71
a"us,2,1
eíto,4,1
meu;,1,4
-vai,2,2
pray,7,5
‘de ,2,1
mpón,5,1
urum,4,3
ú cu,11,1
é tâ,1,2
cd v,3,4
fá i,1,2
ehá ,1,2
nará,196,87
lôni,1,68
n ce,360,3
) ve,1,5
ze t,1,12
king,25,34
s-ar,1,2
arté,40,8
e cí,5,11
dría,1858,2
l 43,2,1
u-ca,1,3
"asp,1,2
míse,6,4
nhau,3,2
orvo,1,40
""hí,1,2
ê nú,1,2
ienq,28,1
ecér,12,1
¡ste,2,1
-dri,2,5
"shq,2,1
deso,160,168
poyó,27,1
aúpa,2,1
neci,144,36
lpeá,5,2
ugúr,1,5
m eg,1,10
rúxu,1,6
 uup,1,3
á 50,1,4
áral,10,1
lpan,11,19
oso",4,3
ciãe,1,2
appe,4,5
om d,1136,3236
er- ,3,1
oetá,2,1
lheç,1,5
abid,250,35
a 'e,1,3
8h d,1,3
gón ,36,1
ll) ,2,2
jam:,1,2
nook,2,2
tája,2,1
- to,6,3
maz ,2,1
s: _,2,1
"ah",1,2
n = ,2,2
é 11,1,4
tí q,39,1
la-b,2,1
smo ,1260,2276
ne 6,6,2
lemu,2,1
 bry,2,6
 baf,1,6
 7 d,8,11
o"" ,111,95
niu ,1,31
r 9 ,1,2
xōch,12,1
marf,7,17
 (vi,2,5
háli,3,7
lafr,1,11
dive,538,775
10:4,4,3
914 ,2,4
r gá,3,4
 sei,493,3614
otod,7,1
75 l,2,1
ça-a,1,3
 ¡fl,2,1
eedo,19,1
nspi,110,120
zíam,1,4
 ¡tú,11,1
40km,2,1
oé l,2,1
rsar,98,437
 «ib,2,1
et's,2,1
dorc,2,1
neji,13,1
leçã,1,116
desb,39,15
úcio,1,16
eño ,749,2
: ou,1,5
üeño,2,1
agrâ,1,14
uetó,12,1
itr ,2,1
hias,3,10
"«ay,3,1
ção;,1,17
nita,400,628
s ín,17,44
atep,4,1
imiz,7,17
cís ,17,2
dapt,79,66
em j,1,339
"—¡e,4,1
 @ e,2,1
efe”,1,2
si 5,2,1
rucc,181,1
ruch,34,3
rtíf,4,3
ça h,1,30
cy o,1,3
tem—,1,2
eó d,10,1
"¡ci,7,1
gize,2,6
oyo ,68,1
citó,27,1
u 18,1,2
mari,1185,4054
traz,29,439
nach,11,6
bogó,3,1
í oc,7,1
-¿va,2,1
nu f,1,2
bigü,6,1
osav,2,1
 omi,26,21
ulín,2,1
esvé,2,1
a"nã,1,2
juca,3,3
omeg,2,1
iros,217,914
 uma,1,2
… po,2,1
avej,1,4
y «e,2,1
lígo,8,3
pú y,6,1
ótão,1,37
teca,384,341
 dát,2,3
 é 4,1,4
"¿ec,3,1
 pod,3679,9001
riks,3,2
mpo ,1,3
00 r,5,7
haft,2,1
rabe,129,199
ilor,2,1
watt,1,8
suar,69,8
iaoy,2,1
hols,3,2
upid,82,50
e «d,2,2
ayah,2,1
dúst,1,51
a at,544,1096
ijós,2,2
rei),1,2
stób,60,1
ud a,25,1
ar é,7,338
atré,3,1
—deb,2,1
000m,1,2
hyat,1,2
máta,5,1
aat ,1,2
– às,1,2
– um,1,7
dren,15,8
ita”,1,2
5 em,1,6
"izq,2,1
rbem,1,2
ncê-,1,48
cipe,79,110
un i,646,1
ls t,1,3
terê,1,3
iráb,2,1
mosn,15,1
xcen,2,3
 9 p,3,3
¡sol,17,1
ra: ,34,37
 oci,18,59
"dol,4,2
0 40,2,1
oe e,11,12
al 9,6,1
 itz,3,1
lafe,1,3
ssex,1,49
spom,1,2
hips,10,5
a ín,16,92
sebr,2,3
 dri,3,27
5 ep,1,2
67p ,2,1
are-,1,15
iam ,7,1516
"–su,2,1
ldeg,2,1
299 ,1,2
9265,1,2
rei ,2,4663
póse,3,1
 ¡pi,4,1
a pá,143,257
íala,2,1
n fa,573,24
4 ru,3,1
onco,76,585
y sú,5,1
lti-,2,2
oli»,2,1
gíme,3,1
gil ,10,10
eosd,2,1
o ai,1,2
sudã,1,5
diss,1,6523
 g7 ,3,2
ansp,146,159
rrou,1,151
azív,1,4
71 y,2,1
bdes,2,3
 ó r,1,3
nça ,1,1499
oltr,3,20
ea ",3,1
fc c,1,2
cúst,6,6
pirá,23,4
é h-,1,2
 had,39,4
rânc,1,97
gría,150,1
rcón,2,1
+ 2 ,2,1
mpse,1,2
tait,1,2
amaz,39,51
ersc,1,4
r mê,1,60
"¡lé,2,1
a “p,2,3
nsua,34,7
xfol,5,1
ibía,45,1
ikoy,2,1
i 30,2,4
dreg,2,5
 dre,10,8
utte,2,3
bê é,1,13
piãs,1,2
thov,20,24
—pre,17,1
dión,2,1
"ele,5,2933
te/ ,3,1
ocá ,2,1
n—"",2,1
t já,1,2
dia",4,10
o (k,4,4
-pen,1,5
r há,5,42
teís,14,17
-mej,2,1
camp,777,710
uádo,2,1
ophi,4,7
repâ,1,4
é 40,2,2
ln q,4,1
mbê-,1,2
ity ,4,11
ltal,8,1
oi a,1,1179
uça ,1,48
ío i,12,1
k nã,1,16
ságo,2,2
émic,65,3
onia,188,124
l án,25,1
naís,2,1
o bd,1,2
78 j,2,1
: “v,1,6
pod ,4,3
pm e,1,2
háis,8,1
"pai,1,25
gays,14,3
à ge,1,8
ubón,2,1
ov p,4,3
ch —,1,2
 yal,4,1
elqu,5,1
aell,23,14
tomá,1309,438
nés',2,1
 fê-,1,4
a-cu,1,2
hers,1,3
s av,259,254
opon,160,60
ahar,12,4
mez ,6,1
ssib,1,151
chá ,8,179
li –,1,2
¿ust,228,1
ẽ po,1,2
trém,12,1
in u,88,2
l –s,2,1
conf,1602,1969
rlo",2,1
ks v,2,1
umon,14,14
«con,2,1
lpe ,63,117
¡pla,2,1
adol,99,74
kile,3,1
ésen,3,1
là f,1,3
gboa,2,1
gide,6,18
dańs,2,1
eñab,13,1
niz ,11,5
xati,2,11
 ¿le,20,1
eato,41,6
(¿de,2,1
moji,3,1
i ia,1,2
taes,4,1
r vê,1,20
 mút,1,27
kbus,1,2
o; m,11,18
n ch,576,10
o pó,4,37
iún ,5,1
‎a l,1,2
é óm,2,1
-ves,1,9
cieg,173,1
 ígn,3,1
avre,2,3
guão,1,12
mizc,8,1
am 1,1,11
02xy,2,2
“ope,2,1
 oba,15,12
cefa,5,3
 tót,2,1
""“f,1,2
somó,5,1
99"",2,1
biro,29,3
e-da,4,2
io-2,1,14
são;,1,4
"'vo,1,2
moqu,9,1
i-fi,5,4
—¡co,3,1
alaú,1,4
gelu,1,4
mino,939,434
exeq,1,5
no¿c,2,1
céis,69,2
een ,207,14
reem,114,34
tl a,5,1
exus,1,2
soan,1,18
m it,1,32
fiar,277,261
ildt,2,2
miho,4,5
hibc,1,2
hels,12,9
ron ,6495,18
âmba,1,6
ex c,2,1
e la,17268,720
: ¿l,5,1
— un,2,1
jira,41,1
00 c,21,16
bike,1,2
ólve,12,15
o ít,1,2
eio ,2,2093
goja,5,1
p cs,1,2
rami,130,22
0 % ,2,1
8º a,1,2
a -m,2,1
-toc,3,1
: al,5,7
re n,483,342
beró,20,1
aaro,7,6
viej,864,1
¡cíñ,2,1
ferd,6,6
ens",3,3
¿cen,5,1
lteé,2,1
héle,2,1
lpli,1,2
 voo,1,210
éuni,2,1
u st,2,1
z a ,176,237
cazu,4,1
xúri,1,5
raré,238,1
m ve,58,1207
-rac,3,1
sver,8,8
é-hi,1,15
ces),1,2
egé ,2,1
dróf,2,1
"alc,7,4
 – a,1,2
uker,2,2
s la,5733,331
eele,8,5
pste,6,3
7 lí,2,2
rto),2,3
ixia,16,5
1850,2,3
mi-l,1,6
atuí,1,2
eaju,1,2
s 7-,2,1
ntup,2,14
gáña,6,1
po; ,16,11
lóso,44,42
voai,1,3
udai,2,14
gabr,13,14
qbay,3,2
óver,3,1
‎eu ,1,3
xtra,1463,206
 ufa,1,2
gême,1,90
x nã,1,3
''po,1,4
 a q,1,2
udón,8,1
h42 ,1,2
dper,1,2
"tía,2,1
«hab,2,1
hínd,1,4
lé s,3,1
s íe,2,1
 ads,1,2
díll,6,1
xe c,1,57
ou 9,1,6
chwe,3,2
ándw,72,1
epór,2,13
emiê,1,2
" há,1,2
oo"",1,2
ko a,12,6
 «só,2,1
emes,78,105
ierb,99,1
lhão,1,118
zhan,1,4
ubar,8,181
r lo,2223,189
nflá,1,6
echt,3,5
akit,3,1
92% ,1,2
vexa,1,4
na r,967,399
o 28,4,4
uora,1,3
stúd,2,14
eitõ,1,2
aval,101,681
rlar,98,2
éñem,9,1
a vo,850,2484
jers,33,2
o lú,3,11
lgol,2,2
r ká,2,1
new ,11,11
elbs,2,1
 fé;,1,2
ndeó,5,1
habi,1536,343
újar,2,1
ebum,1,2
 bre,151,354
ij l,2,2
resq,23,8
enaç,1,15
 dae,1,2
lgtb,3,1
safí,46,1
 20h,1,4
/ ar,1,19
rbai,2,14
ix c,1,2
77 e,2,3
io i,123,115
mang,151,97
g le,3,1
çã a,1,22
en"a,2,1
"¡pu,13,1
mavo,1,2
éspo,3,5
co ú,2,1
ue t,6992,5788
gana,1435,244
ha-a,1,6
r” p,1,2
có o,3,6
la'o,2,1
di b,2,6
nuíd,1,4
1% n,1,2
 cev,2,18
["no,1,2
zian,1,2
acfí,1,2
en ",24,1
ajaz,5,1
o ní,1,65
jei ,1,58
ezão,1,2
ã pi,1,2
ibyt,2,1
alôn,1,3
nho),1,3
sama,16,24
vísa,31,1
ut d,1,4
eth ,21,17
n 93,2,1
ttga,1,2
 72 ,3,3
a-lá,1,3
iéta,2,1
y 14,3,1
ei a,3,1835
»"¡c,2,1
rá l,320,80
nopi,4,2
 ren,384,252
naom,8,4
l is,51,13
plon,9,1
alfo,62,5
á is,1,76
o ed,1,3
 dad,318,215
tmas,3,1
 gac,16,1
d ét,2,1
 id ,6,3
ríss,1,30
¡¡tu,2,1
cht',1,2
ukai,2,1
as é,54,355
cí h,7,1
e"";,1,2
atan,246,83
pú e,3,1
hop ,2,4
alad,307,397
rtmu,1,3
971 ,2,1
r aq,673,1736
rlo ,1233,2
peré,69,1
jar ,1513,444
ói t,1,11
¿ata,3,1
2 ar,1,2
ça… ,1,2
